,Top_positvely_correlated,Top_negatively_correlated
HES4,"['VIM', 'COL4A1', 'SPARC', 'COL3A1', 'COL1A1', 'NOTCH3', 'IGFBP7', 'COL4A2', 'COL1A2', 'LGALS1', 'RGS5', 'ACTA2', 'TAGLN', 'COL5A1', 'COL18A1', 'PDGFRB', 'COL6A2', 'A2M', 'C11orf96', 'CALD1', 'MCAM', 'CCN2', 'PLVAP', 'ITGA5', 'FSTL1', 'COL6A3', 'COL6A1', 'TIMP1', 'MYL9', 'EPAS1']","['LCN2', 'PIGR', 'FCGBP', 'AGR2', 'PI3', 'CLCA1', 'TSPAN1', 'MUC2', 'TFF3', 'CEACAM7', 'KRT20', 'SLC26A3', 'CKB', 'MT1X', 'DUOX2', 'OLFM4', 'ZG16', 'MT1G', 'DMBT1', 'SPINK4', 'CA2', 'MS4A12', 'ITLN1', 'REG4', 'SELENOP', 'C2orf88', 'PLA2G2A', 'MT1F', 'KIZ', 'MT1H']"
ISG15,"['CXCL10', 'MX1', 'IFIT1', 'IFIT3', 'IFI6', 'OAS2', 'SPARC', 'COL1A1', 'IFI44L', 'COL3A1', 'IFIT2', 'COL1A2', 'VIM', 'BST2', 'IFI44', 'LGALS1', 'IGFBP7', 'IGFBP3', 'COL4A1', 'MMP2', 'COL5A1', 'EPSTI1', 'LUM', 'TRIM22', 'GBP1', 'AEBP1', 'TIMP2', 'TIMP3', 'TIMP1', 'COL5A2']","['OLFM4', 'CLCA1', 'AGR2', 'SPINK4', 'DES', 'MUC2', 'FCGBP', 'PLA2G2A', 'FABP1', 'TFF3', 'ITLN1', 'MYH11', 'LCN2', 'PCP4', 'REG4', 'DMBT1', 'CA2', 'SORBS2', 'IGKC', 'SYNPO2', 'REG1A', 'PRUNE2', 'JCHAIN', 'MT1X', 'CA1', 'CKB', 'SYNM', 'MT1F', 'IGHM', 'HBA2']"
MXRA8,"['COL3A1', 'COL1A1', 'COL1A2', 'SPARC', 'LUM', 'MMP2', 'COL5A1', 'AEBP1', 'SFRP4', 'THBS2', 'COL6A3', 'DCN', 'COL6A2', 'VCAN', 'TIMP3', 'CTHRC1', 'VIM', 'TIMP2', 'IGFBP3', 'COL5A2', 'C1S', 'COMP', 'COL12A1', 'FBLN1', 'IGFBP7', 'LGALS1', 'BGN', 'ELN', 'THY1', 'C1R']","['FABP1', 'PIGR', 'PI3', 'FCGBP', 'AGR2', 'CKB', 'TSPAN1', 'MUC2', 'CLCA1', 'OLFM4', 'SLC26A3', 'CEACAM7', 'KRT20', 'SPINK4', 'CA2', 'TFF3', 'DUOX2', 'PCP4', 'MS4A12', 'ZG16', 'DMBT1', 'KLF4', 'PLAC8', 'ITLN1', 'SORBS2', 'PLA2G2A', 'REG4', 'SOD2', 'MT1G', 'MT1F']"
VWA1,"['PLVAP', 'COL4A1', 'VWF', 'ENG', 'PECAM1', 'COL4A2', 'HSPG2', 'ADGRL4', 'AQP1', 'A2M', 'EGFL7', 'CALCRL', 'MCAM', 'IGFBP7', 'CD34', 'RGS5', 'ITGA5', 'PLXND1', 'ESAM', 'VIM', 'COL15A1', 'PDGFB', 'SLCO2A1', 'SPARCL1', 'DES', 'CD93', 'RAMP3', 'PCDH17', 'ACTG2', 'APLNR']","['SFRP4', 'IGKC', 'THBS2', 'JCHAIN', 'SFRP2', 'GREM1', 'ELN', 'DCN', 'COMP', 'IGHG1', 'COL11A1', 'AEBP1', 'MMP2', 'C3', 'EFEMP1', 'ITGA11', 'TIMP3', 'FBLN1', 'ADAM12', 'CTHRC1', 'IGHM', 'COL8A1', 'ITGBL1', 'COL1A2', 'IGHA1', 'COL1A1', 'IGHG3', 'MZB1', 'COL16A1', 'PIGR']"
MMP23B,"['COL3A1', 'COL1A1', 'COL1A2', 'SPARC', 'LUM', 'MMP2', 'THBS2', 'AEBP1', 'COL5A1', 'FBLN1', 'DCN', 'COL6A3', 'SFRP4', 'ELN', 'C1R', 'TIMP2', 'VCAN', 'GREM1', 'COL6A2', 'CTHRC1', 'SFRP2', 'TAGLN', 'VIM', 'MGP', 'THBS1', 'CCDC80', 'THY1', 'ITGA11', 'CCN1', 'IGFBP3']","['FABP1', 'PI3', 'PIGR', 'FCGBP', 'AGR2', 'TSPAN1', 'CKB', 'OLFM4', 'SPINK4', 'MUC2', 'CEACAM7', 'CLCA1', 'KRT20', 'DUOX2', 'SLC26A3', 'PGM5', 'PLAC8', 'TFF3', 'SORBS2', 'MT1X', 'DMBT1', 'PCP4', 'ITLN1', 'RASSF3', 'REG4', 'ZG16', 'MT1G', 'ARHGEF1', 'SLCO2A1', 'SPP1']"
SKI,"['COL3A1', 'COL1A1', 'VIM', 'COL1A2', 'SPARC', 'COL5A1', 'MMP2', 'COL6A2', 'IGFBP7', 'COL4A1', 'LGALS1', 'COL6A3', 'LUM', 'AEBP1', 'VCAN', 'A2M', 'COL4A2', 'FSTL1', 'TIMP2', 'TIMP1', 'COL5A2', 'TIMP3', 'THY1', 'C1R', 'THBS2', 'TAGLN', 'COL6A1', 'CCN1', 'C1S', 'DCN']","['FABP1', 'LCN2', 'PI3', 'FCGBP', 'TSPAN1', 'SLC26A3', 'CEACAM7', 'AGR2', 'KRT20', 'MUC2', 'CA2', 'ZG16', 'CLCA1', 'GUCA2A', 'MS4A12', 'CKB', 'DUOX2', 'TFF3', 'CA4', 'PLA2G2A', 'SPINK4', 'PLAC8', 'CLCA4', 'MT1G', 'CA1', 'ITLN1', 'OLFM4', 'MT1H', 'CD177', 'MT1X']"
MEGF6,"['COL1A1', 'COL1A2', 'COL3A1', 'SPARC', 'THBS2', 'MMP2', 'LUM', 'COL5A1', 'AEBP1', 'SFRP4', 'IGFBP3', 'TIMP3', 'COL11A1', 'CTHRC1', 'DCN', 'COL6A3', 'VCAN', 'ELN', 'COL5A2', 'VIM', 'COL6A2', 'TIMP2', 'ADAM12', 'COMP', 'COL12A1', 'ITGA11', 'CDH11', 'FN1', 'FBLN1', 'EFEMP1']","['PIGR', 'FABP1', 'FCGBP', 'PI3', 'TSPAN1', 'MUC2', 'DES', 'AGR2', 'PLA2G2A', 'CA2', 'SLC26A3', 'OLFM4', 'CLCA1', 'SOD2', 'JCHAIN', 'SPINK4', 'KRT20', 'CKB', 'ZG16', 'TFF3', 'DUOX2', 'MS4A12', 'CEACAM7', 'PLAC8', 'PCP4', 'PARM1', 'GUCA2A', 'DMBT1', 'CXCL8', 'MT1G']"
CCDC27,"['STC1', 'NEXMIF', 'CDK14', 'GIMAP4', 'PTGIS', 'CNTNAP3B', 'CLEC14A', 'CLEC4A', 'BACH1', 'TSC22D3', 'HLX', 'LATS2', 'DIPK2B', 'HOXB2', 'HBA2', 'PDLIM4', 'C20orf194', 'SMAP2', 'ARHGAP24', 'ACAP1', 'CLEC2B', 'PRAF2', 'ESAM', 'EVA1B', 'KCTD12', 'OLFML2A', 'KLF2', 'ABCA9', 'CERCAM', 'SRPX']","['PSAP', 'TAGLN', 'CALU', 'DES', 'COL6A3', 'TPM1', 'ACTA2', 'TPM2', 'COL6A2', 'ACTG2', 'CKB', 'HIPK3', 'LYZ', 'MYL9', 'C1QC', 'TGFBR1', 'SEPTIN11', 'PEA15', 'TIMP1', 'COL5A1', 'CCN2', 'FABP1', 'FLNA', 'LPP', 'EID1', 'CTSB', 'EHBP1L1', 'PARVA', 'MMP12', 'PRNP']"
VAMP3,"['VIM', 'COL4A1', 'LGALS1', 'IGFBP7', 'PECAM1', 'ENG', 'A2M', 'MSN', 'SPARC', 'PLVAP', 'EGFL7', 'RGS5', 'CD74', 'PLXND1', 'COL4A2', 'CTSB', 'COL3A1', 'VWF', 'MMP12', 'LYZ', 'C1QC', 'IFI30', 'EPAS1', 'AQP1', 'COL1A1', 'TIMP3', 'MCAM', 'CALCRL', 'CRIP1', 'COL6A2']","['IGHG1', 'JCHAIN', 'HBA2', 'DES', 'MZB1', 'IGHG3', 'PI16', 'IGHM', 'SPEG', 'G0S2', 'HBB', 'SYNPO2', 'IGHA1', 'AOX1', 'CCDC80', 'CCN5', 'FAM83D', 'OSM', 'PDZRN4', 'SVEP1', 'DTNA', 'ASB5', 'C3', 'EPHA6', 'FBXL22', 'NCS1', 'TREM1', 'MTCL1', 'CTNNA3', 'CNGA3']"
PER3,"['TAGLN', 'COL3A1', 'COL1A2', 'MYL9', 'COL1A1', 'DES', 'MYH11', 'ACTG2', 'MYLK', 'CSRP1', 'TPM2', 'LUM', 'SPARC', 'CALD1', 'TIMP2', 'FLNA', 'COL6A2', 'ACTA2', 'ANTXR1', 'LGALS1', 'TPM1', 'C1R', 'THBS2', 'MMP2', 'C1S', 'AEBP1', 'A2M', 'CNN1', 'VIM', 'SPARCL1']","['FABP1', 'PI3', 'AGR2', 'PIGR', 'SPINK4', 'DMBT1', 'OLFM4', 'CLCA1', 'HBA2', 'S100A9', 'IL1RN', 'SOD2', 'HBB', 'G0S2', 'IL1B', 'CXCL8', 'S100A8', 'CSF3R', 'MUC2', 'FCGBP', 'MXD1', 'REG4', 'ITLN1', 'CCL4', 'OSM', 'CCL3', 'BCL2A1', 'LCP2', 'PLAUR', 'MMP1']"
